30/10/12                     Report: reg_active_borrow,ers2,
,,2
Registration Branch:    1  OUTER WEST LIBRARY,,1
,,2
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
UNUSED ADULT,15,0
,,2
UNUSED JUNIOR,1,0
,,2
EXPIRED BORROWERS,55,0
,,2
STAFF,17,0
,,2
PSEUD,4,0
,,2
CLASS VISITS,45,0
,,2
BOOKSTART,462,0
,,2
LIBRARY MAINTENANCE,11,0
,,2
LIFELONG LEARNING,1,0
,,2
18+,3278,0
,,2
UNUSED 0-5,2,0
,,2
6 to 13,739,0
,,2
14-15,70,0
,,2
16-17,72,0
,,2
LEISUREPLUS CARD ADULT,20,0
,,2
VISUALLY IMPAIRED,20,0
,,2
NON AUDIO ADULT,493,0
,,2
NON AUDIO JUNIOR,128,0
,,2
,,2
Number of Borrowers        __________,,1
Active at this Branch:           5433,,1
----------,,1
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
- 2 -,,1
30/10/12                     Report: reg_active_borrow,ers2,0
,,2
Registration Branch:    2  GOSFORTH,,1
,,2
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
UNUSED ADULT,9,0
,,2
UNUSED JUNIOR,1,0
,,2
EXPIRED BORROWERS,83,0
,,2
STAFF,19,0
,,2
PSEUD,9,0
,,2
CARER,5,0
,,2
MINIBUS,30,0
,,2
HOMES,1,0
,,2
CLASS VISITS,39,0
,,2
BOOKSTART,931,0
,,2
LIBRARY MAINTENANCE,5,0
,,2
PLAYGROUPS,3,0
,,2
HOUSEBOUND READER,2,0
,,2
UNUSED SURE START NORTH MOOR,5,0
,,2
LIFELONG LEARNING,5,0
,,2
18+,4605,0
,,2
UNUSED 0-5,2,0
,,2
6 to 13,1205,0
,,2
14-15,137,0
,,2
16-17,114,0
,,2
LEISUREPLUS CARD ADULT,20,0
,,2
VISUALLY IMPAIRED,21,0
,,2
LEISUREPLUS JUNIOR 6 to 15,1,0
,,2
NON AUDIO ADULT,578,0
,,2
NON AUDIO JUNIOR,92,0
,,2
,,2
,,2
,,2
- 3 -,,1
30/10/12                     Report: reg_active_borrow,ers2,0
,,2
Number of Borrowers        __________,,1
Active at this Branch:           7922,,1
----------,,1
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
- 4 -,,1
30/10/12                     Report: reg_active_borrow,ers2,0
,,2
Registration Branch:    3  FENHAM,,1
,,2
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
UNUSED ADULT,8,0
,,2
EXPIRED BORROWERS,36,0
,,2
STAFF,11,0
,,2
PSEUD,18,0
,,2
UNUSED BOOKFRIEND,1,0
,,2
MINIBUS,1,0
,,2
HOMES,1,0
,,2
CLASS VISITS,5,0
,,2
BOOKSTART,348,0
,,2
LIBRARY MAINTENANCE,3,0
,,2
PLAYGROUPS,3,0
,,2
UNUSED SURE START WESTGATE,1,0
,,2
HOUSEBOUND READER,2,0
,,2
UNUSED SURE START RIVERSIDE,1,0
,,2
UNUSED SURES COWGATE BLAKELAW,1,0
,,2
18+,1758,0
,,2
UNUSED 0-5,1,0
,,2
6 to 13,586,0
,,2
14-15,81,0
,,2
16-17,90,0
,,2
LEISUREPLUS CARD ADULT,12,0
,,2
VISUALLY IMPAIRED,15,0
,,2
NON AUDIO ADULT,325,0
,,2
NON AUDIO JUNIOR,110,0
,,2
,,2
,,2
,,2
,,2
,,2
- 5 -,,1
30/10/12                     Report: reg_active_borrow,ers2,0
,,2
Number of Borrowers        __________,,1
Active at this Branch:           3418,,1
----------,,1
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
- 6 -,,1
30/10/12                     Report: reg_active_borrow,ers2,0
,,2
Registration Branch:    4  JESMOND,,1
,,2
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
UNUSED ADULT,7,0
,,2
EXPIRED BORROWERS,42,0
,,2
STAFF,4,0
,,2
PSEUD,8,0
,,2
CLASS VISITS,11,0
,,2
BOOKSTART,182,0
,,2
LIBRARY MAINTENANCE,1,0
,,2
18+,1891,0
,,2
6 to 13,396,0
,,2
14-15,58,0
,,2
16-17,35,0
,,2
LEISUREPLUS CARD ADULT,5,0
,,2
VISUALLY IMPAIRED,6,0
,,2
LEISUREPLUS JUNIOR 6 to 15,1,0
,,2
NON AUDIO ADULT,440,0
,,2
NON AUDIO JUNIOR,25,0
,,2
,,2
Number of Borrowers        __________,,1
Active at this Branch:           3112,,1
----------,,1
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
- 7 -,,1
30/10/12                     Report: reg_active_borrow,ers2,0
,,2
Registration Branch:    5  KENTON,,1
,,2
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
UNUSED ADULT,6,0
,,2
UNUSED JUNIOR,1,0
,,2
EXPIRED BORROWERS,25,0
,,2
STAFF,6,0
,,2
PSEUD,2,0
,,2
CARER,11,0
,,2
MINIBUS,5,0
,,2
CLASS VISITS,12,0
,,2
BOOKSTART,254,0
,,2
LIBRARY MAINTENANCE,11,0
,,2
UNUSED SURE START NORTH MOOR,8,0
,,2
18+,1072,0
,,2
6 to 13,391,0
,,2
14-15,46,0
,,2
16-17,41,0
,,2
LEISUREPLUS CARD ADULT,1,0
,,2
VISUALLY IMPAIRED,14,0
,,2
NON AUDIO ADULT,260,0
,,2
NON AUDIO JUNIOR,65,0
,,2
,,2
Number of Borrowers        __________,,1
Active at this Branch:           2231,,1
----------,,1
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
- 8 -,,1
30/10/12                     Report: reg_active_borrow,ers2,0
,,2
Registration Branch:    6  WALKER,,1
,,2
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
UNUSED ADULT,5,0
,,2
EXPIRED BORROWERS,28,0
,,2
STAFF,5,0
,,2
PSEUD,2,0
,,2
CARER,2,0
,,2
CLASS VISITS,46,0
,,2
BOOKSTART,289,0
,,2
LIBRARY MAINTENANCE,11,0
,,2
PLAYGROUPS,4,0
,,2
LIFELONG LEARNING,7,0
,,2
18+,960,0
,,2
6 to 13,289,0
,,2
14-15,26,0
,,2
16-17,31,0
,,2
LEISUREPLUS CARD ADULT,2,0
,,2
VISUALLY IMPAIRED,16,0
,,2
NON AUDIO ADULT,202,0
,,2
NON AUDIO JUNIOR,65,0
,,2
,,2
Number of Borrowers        __________,,1
Active at this Branch:           1990,,1
----------,,1
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
- 9 -,,1
30/10/12                     Report: reg_active_borrow,ers2,0
,,2
Registration Branch:    7  HIGH HEATON,,1
,,2
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
UNUSED ADULT,5,0
,,2
UNUSED JUNIOR,1,0
,,2
EXPIRED BORROWERS,19,0
