Registration Bran,ch:    1  OUTER WEST LIBRARY,
,,Number of
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,4199
,JUNIOR,1516
,TEMPORARY TICKET,12
,SUBSCRIPTION,8
,STAFF,8
,VIDEO,1427
,PSEUD,3
,CHILDMINDER,1
,MINIBUS,1
,WORKER,11
,CLASS VISITS,27
,BORN TO READ,203
,EAZ BORN TO READ,3
,LIBRARY MAINTENANCE,11
,Dfee BORN TO READ,1
,DENTON PARK EAZ,7
,SURE START WESTGATE,1
,SURE START EAST,1
,READING SCHEME,1
,SURE START COWGATE AND BLAKELAW,6
,SURE START NEWBIGGIN HALL,6
,SURE START NORTH MOOR,2
,LIFELONG LEARNING,6
,18+,718
,0-5,33
,6-13,201
,14-15,28
,16-17,29
Number of Borrowe,rs        __________,
Active at this Br,anch:           8470,
,----------,
,- 3 -,
04/10/04,Report: reg_active_borrow,ers
Registration Bran,ch:    2  GOSFORTH,
,,Number of
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,4416
,JUNIOR,1417
,STUDENT,13
,TEMPORARY TICKET,18
,SUBSCRIPTION,8
,STAFF,7
,VIDEO,13
,PSEUD,3
,CHILDMINDER,7
,MINIBUS,25
,WORKER,156
,CORPORATE,1
,CLASS VISITS,7
,BORN TO READ,199
,LIBRARY MAINTENANCE,12
,Dfee BORN TO READ,2
,SURE START EAST,2
,HOUSEBOUND READER,1
,SURE START NORTH MOOR,16
,18+,902
,0-5,57
,6-13,193
,14-15,48
,16-17,33
Number of Borrowe,rs        __________,
Active at this Br,anch:           7556,
,----------,
,- 5 -,
04/10/04,Report: reg_active_borrow,ers
Registration Bran,ch:    3  FENHAM,
,,Number of
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,2017
,JUNIOR,869
,STUDENT,1
,TEMPORARY TICKET,3
,SUBSCRIPTION,1
,STAFF,3
,VIDEO,10
,PSEUD,9
,CHILDMINDER,1
,BOOKFRIEND,3
,WORKER,10
,CLASS VISITS,2
,BORN TO READ,50
,EAZ BORN TO READ,8
,LIBRARY MAINTENANCE,2
,PLAYGROUPS,1
,SURE START WESTGATE,5
,SURE START EAST,4
,SURE START FOSSWAY,2
,READING SCHEME,1
,SURE START ARMSTRONG,4
,SURE START COWGATE AND BLAKELAW,11
,SURE START NEWBIGGIN HALL,15
,LIFELONG LEARNING,4
,18+,349
,0-5,19
,6-13,108
,14-15,27
,16-17,17
Number of Borrowe,rs        __________,
Active at this Br,anch:           3556,
,----------,
,- 7 -,
04/10/04,Report: reg_active_borrow,ers
Registration Bran,ch:    4  JESMOND,
,,Number of
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,2218
,JUNIOR,604
,STUDENT,4
,TEMPORARY TICKET,15
,SUBSCRIPTION,6
,STAFF,4
,VIDEO,10
,PSEUD,6
,MINIBUS,1
,WORKER,26
,CLASS VISITS,6
,BORN TO READ,199
,EAZ BORN TO READ,12
,LIBRARY MAINTENANCE,7
,PLAYGROUPS,1
,Dfee BORN TO READ,3
,SAINSBURYS BORN TO READ,24
,SURE START WESTGATE,16
,SURE START EAST,4
,SURE START FOSSWAY,1
,READING SCHEME,3
,SURE START ARMSTRONG,8
,SURE START COWGATE AND BLAKELAW,7
,SURE START NEWBIGGIN HALL,4
,SURE START NORTH MOOR,5
,18+,463
,0-5,69
,6-13,60
,14-15,9
,16-17,8
Number of Borrowe,rs        __________,
Active at this Br,anch:           3803,
,----------,
,- 9 -,
04/10/04,Report: reg_active_borrow,ers
Registration Bran,ch:    5  KENTON,
,,Number of
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,854
,JUNIOR,415
,STAFF,3
,VIDEO,2
,CHILDMINDER,4
,MINIBUS,12
,WORKER,1
,CORPORATE,1
,CLASS VISITS,10
,BORN TO READ,147
,LIBRARY MAINTENANCE,3
,READING SCHEME,1
,SURE START COWGATE AND BLAKELAW,5
,SURE START NORTH MOOR,160
,18+,178
,0-5,3
,6-13,74
,14-15,28
,16-17,34
Number of Borrowe,rs        __________,
Active at this Br,anch:           1935,
,----------,
,- 10 -,
04/10/04,Report: reg_active_borrow,ers
Registration Bran,ch:    6  WALKER,
,,Number of
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,1230
,JUNIOR,400
,STAFF,2
,VIDEO,4
,PSEUD,4
,MINIBUS,6
,WORKER,2
,CLASS VISITS,7
,BORN TO READ,74
,PLAYGROUPS,1
,SURE START EAST,86
,SURE START FOSSWAY,60
,SURE START ARMSTRONG,1
,SURE START NORTH MOOR,3
,18+,155
,0-5,16
,6-13,85
,14-15,13
,16-17,8
Number of Borrowe,rs        __________,
Active at this Br,anch:           2157,
,----------,
,- 11 -,
04/10/04,Report: reg_active_borrow,ers
Registration Bran,ch:    7  HIGH HEATON,
,,Number of
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,1026
,JUNIOR,375
,STUDENT,1
,TEMPORARY TICKET,4
,STAFF,3
,VIDEO,5
,PSEUD,2
,CHILDMINDER,5
,MINIBUS,18
,WORKER,5
,CLASS VISITS,1
,BORN TO READ,26
,READING SCHEME,1
,18+,142
,0-5,14
,6-13,37
,14-15,12
,16-17,13
Number of Borrowe,rs        __________,
Active at this Br,anch:           1690,
,----------,
,- 12 -,
04/10/04,Report: reg_active_borrow,ers
Registration Bran,ch:    9  BENWELL,
,,Number of
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,968
,JUNIOR,591
,STUDENT,1
,STAFF,2
,VIDEO,5
,PSEUD,4
,BOOKFRIEND,1
,MINIBUS,10
,WORKER,3
,CLASS VISITS,5
,BORN TO READ,38
,EAZ BORN TO READ,1
,PLAYGROUPS,1
,SURE START WESTGATE,6
,SURE START EAST,1
,SURE START ARMSTRONG,77
,SURE START COWGATE AND BLAKELAW,2
,18+,167
,0-5,7
,6-13,76
,14-15,14
,16-17,14
Number of Borrowe,rs        __________,
Active at this Br,anch:           1994,
,----------,
,- 13 -,
04/10/04,Report: reg_active_borrow,ers
Registration Bran,ch:   10  BYKER,
,,Number of
,Borrower Category,Borrowers
,-------- --------,---------
,BORN TO READ,13
,SURE START WESTGATE,11
,SURE START EAST,5
,SURE START FOSSWAY,6
,HOUSEBOUND READER,3
,SURE START ARMSTRONG,11
,SURE START COWGATE AND BLAKELAW,9
,SURE START NEWBIGGIN HALL,3
,SURE START NORTH MOOR,45
Number of Borrowe,rs        __________,
Active at this Br,anch:            106,
,----------,
,- 14 -,
04/10/04,Report: reg_active_borrow,ers
Registration Bran,ch:   11  NEWBIGGIN HALL,
,,Number of
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,682
,JUNIOR,353
,TEMPORARY TICKET,14
,SUBSCRIPTION,1
,STAFF,1
,VIDEO,15
,PSEUD,2
,MINIBUS,1
,WORKER,5
,CLASS VISITS,11
,BORN TO READ,98
,LIBRARY MAINTENANCE,2
,NEWBIGGIN HALL EAZ,2
,SURE START WESTGATE,1
,SURE START EAST,1
,SURE START ARMSTRONG,1
,SURE START COWGATE AND BLAKELAW,7
,SURE START NEWBIGGIN HALL,105
,SURE START NORTH MOOR,2
,LIFELONG LEARNING,1
,18+,101
,0-5,5
,6-13,51
,14-15,11
,16-17,3
,- 15 -,
04/10/04,Report: reg_active_borrow,ers
Number of Borrowe,rs        __________,
Active at this Br,anch:           1476,
,----------,
,- 16 -,
04/10/04,Report: reg_active_borrow,ers
Registration Bran,ch:   12  NEWBURN,
,,Number of
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,702
,JUNIOR,362
,UNREGISTERED BORROWER,21
,TEMPORARY TICKET,1
,VIDEO,4
,PSEUD,1
,CLASS VISITS,4
,BORN TO READ,57
,LIBRARY MAINTENANCE,2
,DENTON PARK EAZ,5
,NEWBIGGIN HALL EAZ,4
,SURE START WESTGATE,1
,READING SCHEME,1
,18+,112
,0-5,12
,6-13,46
,14-15,7
,16-17,1
Number of Borrowe,rs        __________,
Active at this Br,anch:           1343,
,----------,
