08/06/09                     Report: reg_active_borrow,ers2,blank
Registration Branch:    1  OUTER WEST LIBRARY,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,167,0
JUNIOR,12,0
TEMPORARY TICKET,4,0
STAFF,17,0
VIDEO,4,0
PSEUD,5,0
CARER,3,0
BOOKFRIEND,6,0
WORKER,1,0
CLASS VISITS,46,0
BOOKSTART,632,0
LIBRARY MAINTENANCE,8,0
READING SCHEME,1,0
SURE START RIVERSIDE,2,0
SURE START COWGATE AND BLAKELAW,7,0
SURE START NEWBIGGIN HALL,13,0
SURE START NORTH MOOR,2,0
LIFELONG LEARNING,1,0
18+,4204,0
0-5,20,0
6-13,963,0
14-15,180,0
16-17,102,0
LEISUREPLUS CARD ADULT,16,0
VISUALLY IMPAIRED,4,0
Number of Borrowers        __________,,1
Active at this Branch:           6420,,1
----------,,1
- 3 -,,1
08/06/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    2  GOSFORTH,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,120,0
JUNIOR,15,0
TEMPORARY TICKET,2,0
STAFF,18,0
PSEUD,10,0
CARER,5,0
BOOKFRIEND,1,0
MINIBUS,29,0
HOMES,1,0
WORKER,2,0
CORPORATE,1,0
CLASS VISITS,43,0
BOOKSTART,1152,0
LIBRARY MAINTENANCE,19,0
PLAYGROUPS,1,0
SURE START COWGATE AND BLAKELAW,1,0
SURE START NORTH MOOR,69,0
18+,6629,0
0-5,25,0
6-13,1680,0
14-15,200,0
16-17,213,0
LEISUREPLUS CARD ADULT,17,0
VISUALLY IMPAIRED,5,0
LEISUREPLUS JUNIOR 6 to 15,1,0
Number of Borrowers        __________,,1
Active at this Branch:          10259,,1
----------,,1
- 5 -,,1
08/06/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    3  FENHAM,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,94,0
JUNIOR,23,0
TEMPORARY TICKET,4,0
STAFF,14,0
PSEUD,7,0
CARER,3,0
MINIBUS,2,0
WORKER,1,0
CLASS VISITS,20,0
BOOKSTART,494,0
EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,7,0
SURE START WESTGATE,12,0
SURE START EAST,1,0
SURE START FOSSWAY,1,0
HOUSEBOUND READER,1,0
SURE START RIVERSIDE,32,0
SURE START COWGATE AND BLAKELAW,25,0
SURE START NORTH MOOR,2,0
18+,2631,0
0-5,25,0
6-13,827,0
14-15,123,0
16-17,98,0
LEISUREPLUS CARD ADULT,3,0
VISUALLY IMPAIRED,1,0
Number of Borrowers        __________,,1
Active at this Branch:           4452,,1
----------,,1
- 7 -,,1
08/06/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    4  JESMOND,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,111,0
JUNIOR,11,0
TEMPORARY TICKET,1,0
STAFF,9,0
PSEUD,11,0
WORKER,2,0
CLASS VISITS,1,0
BOOKSTART,309,0
LIBRARY MAINTENANCE,8,0
PLAYGROUPS,1,0
SAINSBURYS BORN TO READ,1,0
SURE START WESTGATE,2,0
SURE START NORTH MOOR,1,0
18+,3508,0
0-5,18,0
6-13,617,0
14-15,67,0
16-17,56,0
LEISUREPLUS CARD ADULT,10,0
VISUALLY IMPAIRED,1,0
Number of Borrowers        __________,,1
Active at this Branch:           4745,,1
----------,,1
- 8 -,,1
08/06/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    5  KENTON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,35,0
JUNIOR,8,0
STAFF,1,0
PSEUD,1,0
CARER,2,0
BOOKFRIEND,1,0
MINIBUS,4,0
CLASS VISITS,14,0
BOOKSTART,252,0
LIBRARY MAINTENANCE,16,0
PLAYGROUPS,2,0
SURE START WESTGATE,1,0
SURE START COWGATE AND BLAKELAW,8,0
SURE START NEWBIGGIN HALL,2,0
SURE START NORTH MOOR,254,0
18+,1426,0
0-5,9,0
6-13,531,0
14-15,62,0
16-17,70,0
LEISUREPLUS CARD ADULT,2,0
Number of Borrowers        __________,,1
Active at this Branch:           2701,,1
----------,,1
- 9 -,,1
08/06/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    6  WALKER,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,41,0
JUNIOR,8,0
STAFF,2,0
PSEUD,5,0
CARER,1,0
MINIBUS,1,0
WORKER,1,0
CLASS VISITS,20,0
BOOKSTART,222,0
LIBRARY MAINTENANCE,9,0
SURE START EAST,197,0
SURE START FOSSWAY,74,0
SURE START RIVERSIDE,1,0
LIFELONG LEARNING,1,0
18+,1250,0
0-5,4,0
6-13,429,0
14-15,49,0
16-17,37,0
LEISUREPLUS CARD ADULT,3,0
LEISUREPLUS JUNIOR 6 to 15,1,0
Number of Borrowers        __________,,1
Active at this Branch:           2356,,1
----------,,1
- 10 -,,1
08/06/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    7  HIGH HEATON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,92,0
JUNIOR,16,0
STAFF,3,0
PSEUD,11,0
CARER,2,0
MINIBUS,10,0
CLASS VISITS,8,0
BOOKSTART,276,0
LIBRARY MAINTENANCE,4,0
PLAYGROUPS,1,0
SURE START EAST,1,0
18+,1345,0
0-5,21,0
6-13,416,0
14-15,58,0
16-17,44,0
VISUALLY IMPAIRED,1,0
Number of Borrowers        __________,,1
Active at this Branch:           2309,,1
----------,,1
- 11 -,,1
08/06/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    8  ZHEATON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
18+,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
- 12 -,,1
08/06/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    9  BENWELL,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,45,0
JUNIOR,8,0
TEMPORARY TICKET,1,0
STAFF,6,0
PSEUD,1,0
CARER,1,0
BOOKFRIEND,6,0
MINIBUS,11,0
CLASS VISITS,27,0
BOOKSTART,295,0
LIBRARY MAINTENANCE,2,0
PLAYGROUPS,2,0
SURE START WESTGATE,12,0
HOUSEBOUND READER,1,0
SURE START RIVERSIDE,409,0
SURE START COWGATE AND BLAKELAW,3,0
18+,2266,0
0-5,2,0
6-13,863,0
14-15,122,0
16-17,135,0
Number of Borrowers        __________,,1
Active at this Branch:           4218,,1
----------,,1
- 13 -,,1
08/06/09                     Report: reg_active_borrow,ers2,0
Registration Branch:   10  ZBYKER,,1
