02/02/09                     Report: reg_active_borrow,ers2,blank
Registration Branch:    1  OUTER WEST LIBRARY,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,171,0
JUNIOR,79,0
TEMPORARY TICKET,10,0
STAFF,11,0
VIDEO,4,0
PSEUD,5,0
CARER,3,0
BOOKFRIEND,6,0
WORKER,1,0
CLASS VISITS,46,0
BOOKSTART,617,0
LIBRARY MAINTENANCE,7,0
SURE START WESTGATE,2,0
READING SCHEME,1,0
SURE START RIVERSIDE,5,0
SURE START COWGATE AND BLAKELAW,8,0
SURE START NEWBIGGIN HALL,12,0
SURE START NORTH MOOR,1,0
LIFELONG LEARNING,1,0
18+,3938,0
0-5,16,0
6-13,958,0
14-15,170,0
16-17,95,0
LEISUREPLUS CARD ADULT,14,0
VISUALLY IMPAIRED,3,0
Number of Borrowers        __________,,1
Active at this Branch:           6184,,1
----------,,1
- 3 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    2  GOSFORTH,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,147,0
JUNIOR,18,0
TEMPORARY TICKET,7,0
SUBSCRIPTION,1,0
STAFF,14,0
PSEUD,10,0
CARER,5,0
BOOKFRIEND,1,0
MINIBUS,27,0
HOMES,1,0
WORKER,2,0
CORPORATE,1,0
CLASS VISITS,39,0
BOOKSTART,1110,0
LIBRARY MAINTENANCE,18,0
PLAYGROUPS,1,0
SURE START COWGATE AND BLAKELAW,2,0
SURE START NORTH MOOR,77,0
18+,6765,0
0-5,30,0
6-13,1756,0
14-15,209,0
16-17,211,0
LEISUREPLUS CARD ADULT,18,0
VISUALLY IMPAIRED,5,0
LEISUREPLUS JUNIOR 6 to 15,1,0
Number of Borrowers        __________,,1
Active at this Branch:          10476,,1
----------,,1
- 5 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    3  FENHAM,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,103,0
JUNIOR,22,0
TEMPORARY TICKET,16,0
STAFF,11,0
PSEUD,5,0
CARER,3,0
BOOKFRIEND,1,0
MINIBUS,2,0
CLASS VISITS,21,0
BOOKSTART,452,0
EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,9,0
SURE START WESTGATE,12,0
SURE START EAST,1,0
SURE START FOSSWAY,1,0
READING SCHEME,1,0
HOUSEBOUND READER,1,0
SURE START RIVERSIDE,37,0
SURE START COWGATE AND BLAKELAW,22,0
SURE START NEWBIGGIN HALL,1,0
SURE START NORTH MOOR,4,0
18+,2447,0
0-5,29,0
6-13,794,0
14-15,107,0
16-17,92,0
LEISUREPLUS CARD ADULT,2,0
Number of Borrowers        __________,,1
Active at this Branch:           4197,,1
----------,,1
- 7 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    4  JESMOND,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,137,0
JUNIOR,19,0
TEMPORARY TICKET,6,0
STAFF,9,0
PSEUD,13,0
BOOKSTART,332,0
EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,7,0
PLAYGROUPS,1,0
SAINSBURYS BORN TO READ,1,0
SURE START WESTGATE,1,0
SURE START FOSSWAY,1,0
READING SCHEME,1,0
SURE START RIVERSIDE,1,0
SURE START NORTH MOOR,1,0
18+,3312,0
0-5,16,0
6-13,577,0
14-15,60,0
16-17,53,0
LEISUREPLUS CARD ADULT,10,0
VISUALLY IMPAIRED,1,0
Number of Borrowers        __________,,1
Active at this Branch:           4560,,1
----------,,1
- 8 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    5  KENTON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,36,0
JUNIOR,5,0
TEMPORARY TICKET,1,0
STAFF,1,0
PSEUD,1,0
CARER,1,0
BOOKFRIEND,1,0
MINIBUS,4,0
CLASS VISITS,10,0
BOOKSTART,190,0
LIBRARY MAINTENANCE,15,0
SURE START WESTGATE,1,0
SURE START COWGATE AND BLAKELAW,10,0
SURE START NEWBIGGIN HALL,3,0
SURE START NORTH MOOR,261,0
18+,1452,0
0-5,7,0
6-13,515,0
14-15,62,0
16-17,81,0
LEISUREPLUS CARD ADULT,2,0
Number of Borrowers        __________,,1
Active at this Branch:           2659,,1
----------,,1
- 9 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    6  WALKER,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,58,0
JUNIOR,10,0
STAFF,3,0
PSEUD,4,0
CARER,1,0
MINIBUS,1,0
WORKER,1,0
CORPORATE,1,0
CLASS VISITS,14,0
BOOKSTART,149,0
LIBRARY MAINTENANCE,10,0
SURE START EAST,220,0
SURE START FOSSWAY,90,0
SURE START RIVERSIDE,1,0
18+,1194,0
0-5,6,0
6-13,390,0
14-15,46,0
16-17,42,0
LEISUREPLUS CARD ADULT,4,0
Number of Borrowers        __________,,1
Active at this Branch:           2245,,1
----------,,1
- 10 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    7  HIGH HEATON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,78,0
JUNIOR,16,0
STAFF,3,0
PSEUD,10,0
CARER,2,0
MINIBUS,12,0
CLASS VISITS,7,0
BOOKSTART,220,0
LIBRARY MAINTENANCE,4,0
PLAYGROUPS,1,0
SURE START EAST,1,0
18+,1111,0
0-5,13,0
6-13,347,0
14-15,48,0
16-17,31,0
VISUALLY IMPAIRED,1,0
Number of Borrowers        __________,,1
Active at this Branch:           1905,,1
----------,,1
- 11 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    8  ZHEATON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
18+,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
- 12 -,,1
02/02/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    9  BENWELL,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,42,0
JUNIOR,14,0
TEMPORARY TICKET,3,0
STAFF,4,0
PSEUD,2,0
CARER,1,0
MINIBUS,10,0
CLASS VISITS,16,0
BOOKSTART,182,0
LIBRARY MAINTENANCE,4,0
SURE START WESTGATE,12,0
HOUSEBOUND READER,1,0
SURE START RIVERSIDE,423,0
SURE START COWGATE AND BLAKELAW,4,0
18+,1641,0
0-5,4,0
6-13,701,0
14-15,92,0
16-17,108,0
Number of Borrowers        __________,,1
Active at this Branch:           3264,,1
----------,,1
- 13 -,,1
