01/10/2003,,
,-   1 -,
01/10/03,Report: reg_active_borro,wers
Registration Bran,ch:    1  DENTON PARK,
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,3113
,JUNIOR,838
,STUDENT,3
,TEMPORARY TICKET,30
,SUBSCRIPTION,2
,STAFF,10
,VIDEO,531
,PSEUD,3
,CHILDMINDER,1
,MINIBUS,1
,PICTURE BORROWERS,5
,WORKER,12
,CLASS VISITS,2
,BORN TO READ,185
,EAZ BORN TO READ,19
,BLAKELAW EAZ,1
,LIBRARY MAINTENANCE,9
,DENTON PARK EAZ,10
,SURE START WESTGATE,5
,READING SCHEME,123
,SURE START ARMSTRONG,11
,SURE START COWGATE AND BLAKELAW,40
,SURE START NEWBIGGIN HALL,4
,SURE START NORTH MOOR,2
,-   2 -,
Number of Borrowe,rs        __________,
Active at this Br,anch:           4960,
,----------,
01/10/03,Report: reg_active_borro,wers
Registration Bran,ch:    2  GOSFORTH,
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,5231
,JUNIOR,1743
,STUDENT,19
,TEMPORARY TICKET,48
,SUBSCRIPTION,8
,STAFF,5
,VIDEO,1
,PSEUD,1
,CHILDMINDER,5
,BOOKFRIEND,4
,MINIBUS,26
,WORKER,236
,CORPORATE,1
,CLASS VISITS,6
,BORN TO READ,106
,LIBRARY MAINTENANCE,16
,READING SCHEME,327
,HOUSEBOUND READER,1
,SURE START COWGATE AND BLAKELAW,1
,SURE START NEWBIGGIN HALL,1
,SURE START NORTH MOOR,13
Number of Borrowe,rs        __________,
Active at this Br,anch:           7799,
,----------,
,-   4 -,
01/10/03,Report: reg_active_borro,wers
Registration Bran,ch:    3  FENHAM,
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,2346
,JUNIOR,1096
,STUDENT,4
,TEMPORARY TICKET,7
,STAFF,4
,VIDEO,1
,PSEUD,9
,BOOKFRIEND,7
,MINIBUS,1
,WORKER,23
,CLASS VISITS,3
,BORN TO READ,105
,EAZ BORN TO READ,11
,LIBRARY MAINTENANCE,1
,PLAYGROUPS,1
,SURE START WESTGATE,34
,SURE START EAST AND FOSSWAY,9
,BORN TO READ EYDCP,1
,READING SCHEME,113
,SURE START ARMSTRONG,40
,SURE START COWGATE AND BLAKELAW,62
,SURE START NEWBIGGIN HALL,8
,SURE START NORTH MOOR,3
Number of Borrowe,rs        __________,
Active at this Br,anch:           3889,
,----------,
,-   5 -,
01/10/03,Report: reg_active_borro,wers
Registration Bran,ch:    4  JESMOND,
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,2519
,JUNIOR,833
,STUDENT,54
,TEMPORARY TICKET,40
,STAFF,1
,VIDEO,1
,PSEUD,6
,MINIBUS,1
,PICTURE BORROWERS,1
,HOMES,1
,WORKER,52
,CLASS VISITS,8
,INTERNET USER,1
,BORN TO READ,460
,EAZ BORN TO READ,19
,LIBRARY MAINTENANCE,6
,PLAYGROUPS,1
,Dfee BORN TO READ,2
,SAINSBURYS BORN TO READ,33
,SURE START WESTGATE,100
,SURE START EAST AND FOSSWAY,50
,READING SCHEME,125
,HOUSEBOUND READER,1
,SURE START ARMSTRONG,114
,SURE START COWGATE AND BLAKELAW,92
