Number of borrowers active 04/07/07 ,
Registration Branch:    1  OUTER WEST LIBRARY,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,183
JUNIOR,28
TEMPORARY TICKET,17
STAFF,10
VIDEO,2
PSEUD,3
CARER,4
BOOKFRIEND,5
WORKER,1
CLASS VISITS,27
BOOKSTART,541
LIBRARY MAINTENANCE,8
SURE START WESTGATE,3
HOUSEBOUND READER,1
SURE START ARMSTRONG,4
SURE START COWGATE AND BLAKELAW,6
SURE START NEWBIGGIN HALL,20
18+,3682
0-5,7
6-13,922
14-15,92
16-17,90
Number of Borrowers        __________,
Active at this Branch:           5656,
----------,
- 2 -,
04/07/07                     Report: reg_active_bor,rowers
Registration Branch:    2  GOSFORTH,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,183
JUNIOR,23
UNREGISTERED BORROWER,1
TEMPORARY TICKET,6
STAFF,10
PSEUD,4
CARER,5
MINIBUS,26
HOMES,2
WORKER,2
CORPORATE,1
CLASS VISITS,5
BOOKSTART,697
BLAKELAW EAZ,1
LIBRARY MAINTENANCE,14
RESERVATIONS,1
SURE START NEWBIGGIN HALL,1
SURE START NORTH MOOR,40
18+,3826
0-5,3
6-13,910
14-15,82
16-17,86
Number of Borrowers        __________,
Active at this Branch:           5929,
----------,
- 3 -,
04/07/07                     Report: reg_active_bor,rowers
Registration Branch:    3  FENHAM,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,138
JUNIOR,26
TEMPORARY TICKET,72
STAFF,9
PSEUD,4
CARER,1
BOOKFRIEND,2
MINIBUS,2
CLASS VISITS,19
BOOKSTART,429
EAZ BORN TO READ,1
LIBRARY MAINTENANCE,4
SURE START WESTGATE,25
SURE START EAST,3
SURE START FOSSWAY,2
SURE START ARMSTRONG,32
SURE START COWGATE AND BLAKELAW,25
SURE START NEWBIGGIN HALL,1
SURE START NORTH MOOR,3
18+,2058
0-5,4
6-13,694
14-15,89
16-17,92
- 4 -,
04/07/07                     Report: reg_active_bor,rowers
Number of Borrowers        __________,
Active at this Branch:           3735,
----------,
- 5 -,
04/07/07                     Report: reg_active_bor,rowers
Registration Branch:    4  JESMOND,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,93
JUNIOR,23
TEMPORARY TICKET,15
STAFF,8
PSEUD,8
CARER,1
CLASS VISITS,6
BOOKSTART,337
EAZ BORN TO READ,1
LIBRARY MAINTENANCE,8
PLAYGROUPS,1
SAINSBURYS BORN TO READ,3
SURE START WESTGATE,2
SURE START EAST,2
SURE START FOSSWAY,2
SURE START COWGATE AND BLAKELAW,1
SURE START NEWBIGGIN HALL,1
SURE START NORTH MOOR,2
18+,2606
0-5,1
6-13,474
14-15,48
16-17,40
Number of Borrowers        __________,
Active at this Branch:           3683,
----------,
- 6 -,
04/07/07                     Report: reg_active_bor,rowers
Registration Branch:    5  KENTON,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,32
JUNIOR,8
TEMPORARY TICKET,2
STAFF,2
CARER,3
BOOKFRIEND,1
MINIBUS,8
CLASS VISITS,13
BOOKSTART,132
LIBRARY MAINTENANCE,9
PLAYGROUPS,1
SURE START WESTGATE,1
SURE START COWGATE AND BLAKELAW,9
SURE START NORTH MOOR,194
18+,1337
0-5,2
6-13,486
14-15,70
16-17,47
Number of Borrowers        __________,
Active at this Branch:           2357,
----------,
- 7 -,
04/07/07                     Report: reg_active_bor,rowers
Registration Branch:    6  WALKER,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,44
JUNIOR,11
TEMPORARY TICKET,4
STAFF,4
PSEUD,1
WORKER,1
CLASS VISITS,9
BOOKSTART,92
LIBRARY MAINTENANCE,3
SURE START EAST,198
SURE START FOSSWAY,94
SURE START NORTH MOOR,1
18+,1066
0-5,4
6-13,367
14-15,24
16-17,35
Number of Borrowers        __________,
Active at this Branch:           1958,
----------,
- 8 -,
04/07/07                     Report: reg_active_bor,rowers
Registration Branch:    7  HIGH HEATON,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,146
JUNIOR,30
STUDENT,1
TEMPORARY TICKET,1
STAFF,3
PSEUD,8
CARER,3
MINIBUS,16
WORKER,1
CLASS VISITS,1
BOOKSTART,154
PLAYGROUPS,1
18+,691
6-13,162
14-15,25
16-17,21
Number of Borrowers        __________,
Active at this Branch:           1264,
----------,
- 9 -,
04/07/07                     Report: reg_active_bor,rowers
Registration Branch:    8  ZHEATON,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,1
BOOKSTART,5
Number of Borrowers        __________,
Active at this Branch:              6,
----------,
- 10 -,
04/07/07                     Report: reg_active_bor,rowers
Registration Branch:    9  BENWELL,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,33
JUNIOR,19
STAFF,5
PSEUD,1
CARER,1
MINIBUS,13
CLASS VISITS,13
BOOKSTART,83
LIBRARY MAINTENANCE,2
SURE START WESTGATE,29
SURE START EAST,1
SURE START ARMSTRONG,343
SURE START COWGATE AND BLAKELAW,3
SURE START NORTH MOOR,1
18+,1065
6-13,504
14-15,89
16-17,63
Number of Borrowers        __________,
Active at this Branch:           2268,
----------,
- 11 -,
04/07/07                     Report: reg_active_bor,rowers
Registration Branch:   10  ZBYKER,
,Number of
Borrower Category,Borrowers
-------- --------,---------
BOOKSTART,3
SURE START EAST,1
HOUSEBOUND READER,2
SURE START NEWBIGGIN HALL,1
SURE START NORTH MOOR,2
6-13,4
Number of Borrowers        __________,
Active at this Branch:             13,
----------,
- 12 -,
04/07/07                     Report: reg_active_bor,rowers
Registration Branch:   11  NEWBIGGIN HALL,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,26
JUNIOR,6
TEMPORARY TICKET,4
STAFF,3
CLASS VISITS,4
BOOKSTART,77
LIBRARY MAINTENANCE,1
HOUSEBOUND READER,1
SURE START COWGATE AND BLAKELAW,5
SURE START NEWBIGGIN HALL,112
SURE START NORTH MOOR,5
18+,617
0-5,1
6-13,279
14-15,27
16-17,27
Number of Borrowers        __________,
Active at this Branch:           1195,
----------,
- 13 -,
04/07/07                     Report: reg_active_bor,rowers
Registration Branch:   12  NEWBURN,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,54
JUNIOR,9
TEMPORARY TICKET,1
STAFF,2
PSEUD,13
BOOKFRIEND,1
CLASS VISITS,1
BOOKSTART,166
LIBRARY MAINTENANCE,1
DENTON PARK EAZ,1
SURE START WESTGATE,1
READING SCHEME,3
SURE START ARMSTRONG,2
SURE START COWGATE AND BLAKELAW,1
18+,584
6-13,181
14-15,36
16-17,27
Number of Borrowers        __________,
Active at this Branch:           1084,
----------,
- 14 -,
04/07/07                     Report: reg_active_bor,rowers
Registration Branch:   13  BLAKELAW,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,21
JUNIOR,10
TEMPORARY TICKET,2
STAFF,1
CLASS VISITS,5
BOOKSTART,59
LIBRARY MAINTENANCE,3
PLAYGROUPS,1
SURE START COWGATE AND BLAKELAW,142
SURE START NORTH MOOR,2
18+,257
0-5,3
6-13,206
14-15,22
16-17,15
Number of Borrowers        __________,
Active at this Branch:            749,
----------,
- 15 -,
04/07/07                     Report: reg_active_bor,rowers
Registration Branch:   14  CRUDDAS PARK,
,Number of
Borrower Category,Borrowers
-------- --------,---------
ADULT,14
JUNIOR,4
TEMPORARY TICKET,4
PSEUD,4
CLASS VISITS,8
BOOKSTART,36
SURE START WESTGATE,66
