01/04/03,Report: reg_active_borrow,ers
Registration Bran,ch:    1  DENTON PARK,
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,3450
,JUNIOR,840
,STUDENT,3
,TEMPORARY TICKET,41
,SUBSCRIPTION,2
,STAFF,12
,VIDEO,539
,PSEUD,3
,BUSINESS PICTURES,4
,CHILDMINDER,1
,MINIBUS,1
,PICTURE BORROWERS,24
,WORKER,19
,CLASS VISITS,7
,BORN TO READ,13
,EAZ BORN TO READ,77
,LIBRARY MAINTENANCE,16
,Dfee BORN TO READ,3
,DENTON PARK EAZ,27
,SAINSBURYS BORN TO READ,3
,BORN TO READ SURE START WEST,3
,READING SCHEME,16
Number of Borrowe,rs        __________,
Active at this Br,anch:           5104,
,----------,
,-   2 -,
01/04/03,Report: reg_active_borrow,ers
Registration Bran,ch:    2  GOSFORTH,
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,5189
,JUNIOR,1704
,STUDENT,17
,TEMPORARY TICKET,15
,SUBSCRIPTION,9
,STAFF,2
,PSEUD,4
,CHILDMINDER,4
,BOOKFRIEND,4
,MINIBUS,29
,WORKER,230
,CORPORATE,1
,CLASS VISITS,8
,BORN TO READ,1
,LIBRARY MAINTENANCE,25
,SAINSBURYS BORN TO READ,19
,READING SCHEME,30
,HOUSEBOUND READER,1
Number of Borrowe,rs        __________,
Active at this Br,anch:           7292,
,----------,
,-   3 -,
01/04/03,Report: reg_active_borrow,ers
Registration Bran,ch:    3  FENHAM,
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,2305
,JUNIOR,984
,STUDENT,5
,TEMPORARY TICKET,6
,STAFF,3
,PSEUD,9
,CHILDMINDER,5
,BOOKFRIEND,8
,MINIBUS,1
,WORKER,18
,CLASS VISITS,4
,BORN TO READ,10
,EAZ BORN TO READ,63
,LIBRARY MAINTENANCE,2
,BORN TO READ SURE START WEST,25
,BORN TO READ SURE START EAST,2
,BORN TO READ EYDCP,8
,READING SCHEME,150
Number of Borrowe,rs        __________,
Active at this Br,anch:           3608,
,----------,
,-   4 -,
01/04/03,Report: reg_active_borrow,ers
Registration Bran,ch:    4  JESMOND,
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,2309
,JUNIOR,946
,STUDENT,51
,TEMPORARY TICKET,18
,SUBSCRIPTION,1
,STAFF,1
,PSEUD,8
,MINIBUS,1
,PICTURE BORROWERS,1
,WORKER,57
,CLASS VISITS,8
,BORN TO READ,11
,EAZ BORN TO READ,852
,LIBRARY MAINTENANCE,4
,PLAYGROUPS,1
,Dfee BORN TO READ,26
,SAINSBURYS BORN TO READ,114
,BORN TO READ SURE START WEST,300
,BORN TO READ SURE START EAST,683
,READING SCHEME,8
Number of Borrowe,rs        __________,
Active at this Br,anch:           5400,
,----------,
,-   5 -,
01/04/03,Report: reg_active_borrow,ers
Registration Bran,ch:    5  KENTON,
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,1119
,JUNIOR,432
,STAFF,3
,PSEUD,1
,CHILDMINDER,2
,MINIBUS,11
,WORKER,1
,CLASS VISITS,12
,BORN TO READ,152
,SAINSBURYS BORN TO READ,5
,BORN TO READ SURE START WEST,1
,READING SCHEME,12
Number of Borrowe,rs        __________,
Active at this Br,anch:           1751,
,----------,
,-   6 -,
01/04/03,Report: reg_active_borrow,ers
Registration Bran,ch:    6  WALKER,
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,1636
,JUNIOR,549
,STUDENT,5
,TEMPORARY TICKET,1
,VIDEO,1
,PSEUD,4
,MINIBUS,5
,WORKER,8
,CLASS VISITS,4
,BORN TO READ,1
,EAZ BORN TO READ,2
,LIBRARY MAINTENANCE,1
,SAINSBURYS BORN TO READ,17
,BORN TO READ SURE START WEST,2
,BORN TO READ SURE START EAST,47
,READING SCHEME,88
Number of Borrowe,rs        __________,
Active at this Br,anch:           2371,
,----------,
,-   7 -,
01/04/03,Report: reg_active_borrow,ers
Registration Bran,ch:    7  HIGH HEATON,
,Borrower Category,Borrowers
,-------- --------,---------
,ADULT,1195
,JUNIOR,404
,STUDENT,2
,TEMPORARY TICKET,3
,STAFF,1
,PSEUD,4
,CHILDMINDER,4
,MINIBUS,17
,WORKER,5
,CLASS VISITS,3
,BORN TO READ,1
