01/11/10                     Report: reg_active_borrow,ers2,
Registration Branch:    1  OUTER WEST LIBRARY,,1
,Number of    R,1
Borrower Category,Borrowers,0
-------- --------,---------,0
UNUSED ADULT,71,0
UNUSED JUNIOR,4,0
UNUSED TEMPORARY TICKET,1,0
STAFF,14,0
UNUSED VIDEO,1,0
PSEUD,7,0
CARER,2,0
UNUSED BOOKFRIEND,2,0
MINIBUS,1,0
HOMES,1,0
CLASS VISITS,45,0
BOOKSTART,644,0
UNUSED EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,10,0
UNUSED DENTON PARK EAZ,1,0
UNUSED SURE START WESTGATE,1,0
UNUSED READING SCHEME,1,0
UNUSED SURES COWGATE BLAKELAW,4,0
UNUSED SURE START NEWBIGGIN,5,0
18+,4175,0
UNUSED 0-5,13,0
6-13,1006,0
14-15,119,0
16-17,141,0
LEISUREPLUS CARD ADULT,22,0
VISUALLY IMPAIRED,3,0
LEISUREPLUS JUNIOR 6 to 15,2,0
NON AUDIO ADULT,489,0
NON AUDIO JUNIOR,95,0
Number of Borrowers        __________,,1
Active at this Branch:           6881,,1
----------,,1
- 3 -,,1
01/11/10                     Report: reg_active_borrow,ers2,0
Registration Branch:    2  GOSFORTH,,1
,Number of    R,1
Borrower Category,Borrowers,0
-------- --------,---------,0
UNUSED ADULT,54,0
UNUSED JUNIOR,6,0
STAFF,15,0
PSEUD,10,0
CARER,3,0
UNUSED BOOKFRIEND,1,0
MINIBUS,33,0
HOMES,3,0
UNUSED WORKER,1,0
UNUSED CORPORATE,1,0
CLASS VISITS,41,0
BOOKSTART,1062,0
LIBRARY MAINTENANCE,13,0
PLAYGROUPS,2,0
UNUSED SURES COWGATE BLAKELAW,1,0
UNUSED SURE START NORTH MOOR,24,0
LIFELONG LEARNING,2,0
18+,5874,0
UNUSED 0-5,10,0
6-13,1443,0
14-15,201,0
16-17,207,0
LEISUREPLUS CARD ADULT,26,0
VISUALLY IMPAIRED,4,0
LEISUREPLUS JUNIOR 6 to 15,2,0
NON AUDIO ADULT,592,0
NON AUDIO JUNIOR,85,0
Number of Borrowers        __________,,1
Active at this Branch:           9716,,1
----------,,1
- 5 -,,1
01/11/10                     Report: reg_active_borrow,ers2,0
Registration Branch:    3  FENHAM,,1
,Number of    R,1
Borrower Category,Borrowers,0
-------- --------,---------,0
UNUSED ADULT,35,0
UNUSED JUNIOR,2,0
STAFF,11,0
PSEUD,8,0
CARER,2,0
UNUSED BOOKFRIEND,1,0
MINIBUS,2,0
CLASS VISITS,28,0
INTERNET USER,5,0
BOOKSTART,483,0
LIBRARY MAINTENANCE,6,0
UNUSED SURE START WESTGATE,4,0
UNUSED SURE START FOSSWAY,1,0
UNUSED READING SCHEME,1,0
UNUSED SURE START RIVERSIDE,9,0
UNUSED SURES COWGATE BLAKELAW,3,0
LIFELONG LEARNING,9,0
18+,2263,0
UNUSED 0-5,13,0
6-13,799,0
14-15,127,0
16-17,124,0
LEISUREPLUS CARD ADULT,8,0
VISUALLY IMPAIRED,2,0
NON AUDIO ADULT,264,0
NON AUDIO JUNIOR,72,0
Number of Borrowers        __________,,1
Active at this Branch:           4282,,1
----------,,1
- 7 -,,1
01/11/10                     Report: reg_active_borrow,ers2,0
Registration Branch:    4  JESMOND,,1
,Number of    R,1
Borrower Category,Borrowers,0
-------- --------,---------,0
UNUSED ADULT,32,0
UNUSED JUNIOR,32,0
UNUSED TEMPORARY TICKET,1,0
STAFF,6,0
PSEUD,12,0
CLASS VISITS,3,0
INTERNET USER,1,0
BOOKSTART,245,0
LIBRARY MAINTENANCE,10,0
PLAYGROUPS,1,0
UNUSED Dfee BORN TO READ,1,0
UNUSED SURE START WESTGATE,1,0
UNUSED SURE START EAST,1,0
18+,2556,0
UNUSED 0-5,7,0
6-13,588,0
14-15,53,0
16-17,46,0
LEISUREPLUS CARD ADULT,5,0
VISUALLY IMPAIRED,1,0
NON AUDIO ADULT,477,0
NON AUDIO JUNIOR,13,0
Number of Borrowers        __________,,1
Active at this Branch:           4092,,1
----------,,1
- 8 -,,1
01/11/10                     Report: reg_active_borrow,ers2,0
Registration Branch:    5  KENTON,,1
,Number of    R,1
Borrower Category,Borrowers,0
-------- --------,---------,0
UNUSED ADULT,17,0
UNUSED JUNIOR,3,0
STAFF,5,0
PSEUD,2,0
CARER,2,0
UNUSED BOOKFRIEND,2,0
MINIBUS,3,0
CLASS VISITS,16,0
BOOKSTART,250,0
LIBRARY MAINTENANCE,14,0
