28/03/12                     Report: reg_active_borrow,ers2
Registration Branch:    1  OUTER WEST LIBRARY,
,Number of
Borrower Category,Borrowers
-------- --------,---------
UNUSED ADULT,28
UNUSED JUNIOR,2
EXPIRED BORROWERS,308
STAFF,21
PSEUD,5
UNUSED BOOKFRIEND,1
MINIBUS,1
CLASS VISITS,43
BOOKSTART,478
LIBRARY MAINTENANCE,10
LIFELONG LEARNING,2
18+,3449
UNUSED 0-5,3
6 to 13,772
14-15,81
16-17,83
LEISUREPLUS CARD ADULT,22
VISUALLY IMPAIRED,22
NON AUDIO ADULT,490
NON AUDIO JUNIOR,96
Number of Borrowers        __________,
Active at this Branch:           5917,
----------,
- 2 -,
28/03/12                     Report: reg_active_borrow,ers2
Registration Branch:    2  GOSFORTH,
,Number of
Borrower Category,Borrowers
-------- --------,---------
UNUSED ADULT,17
UNUSED JUNIOR,3
EXPIRED BORROWERS,508
STAFF,18
PSEUD,8
CARER,5
MINIBUS,23
CLASS VISITS,41
BOOKSTART,925
LIBRARY MAINTENANCE,5
PLAYGROUPS,3
HOUSEBOUND READER,2
UNUSED SURE START NORTH MOOR,11
LIFELONG LEARNING,4
18+,4883
UNUSED 0-5,4
6 to 13,1152
14-15,158
16-17,139
LEISUREPLUS CARD ADULT,20
VISUALLY IMPAIRED,27
LEISUREPLUS JUNIOR 6 to 15,1
NON AUDIO ADULT,597
NON AUDIO JUNIOR,78
Number of Borrowers        __________,
Active at this Branch:           8632,
----------,
- 4 -,
28/03/12                     Report: reg_active_borrow,ers2
Registration Branch:    3  FENHAM,
,Number of
Borrower Category,Borrowers
-------- --------,---------
UNUSED ADULT,18
EXPIRED BORROWERS,214
STAFF,11
PSEUD,20
UNUSED BOOKFRIEND,1
MINIBUS,1
HOMES,1
CLASS VISITS,10
BOOKSTART,337
UNUSED EAZ BORN TO READ,1
LIBRARY MAINTENANCE,2
PLAYGROUPS,4
HOUSEBOUND READER,2
UNUSED SURE START RIVERSIDE,1
UNUSED SURES COWGATE BLAKELAW,2
18+,1883
UNUSED 0-5,3
6 to 13,633
14-15,97
16-17,112
LEISUREPLUS CARD ADULT,9
VISUALLY IMPAIRED,13
NON AUDIO ADULT,301
NON AUDIO JUNIOR,80
Number of Borrowers        __________,
Active at this Branch:           3756,
----------,
- 6 -,
28/03/12                     Report: reg_active_borrow,ers2
Registration Branch:    4  JESMOND,
,Number of
Borrower Category,Borrowers
-------- --------,---------
UNUSED ADULT,20
EXPIRED BORROWERS,208
STAFF,6
PSEUD,10
CLASS VISITS,13
BOOKSTART,184
LIBRARY MAINTENANCE,3
18+,1950
UNUSED 0-5,1
6 to 13,465
14-15,44
16-17,33
LEISUREPLUS CARD ADULT,4
VISUALLY IMPAIRED,7
LEISUREPLUS JUNIOR 6 to 15,1
NON AUDIO ADULT,366
NON AUDIO JUNIOR,13
Number of Borrowers        __________,
Active at this Branch:           3328,
----------,
- 7 -,
28/03/12                     Report: reg_active_borrow,ers2
Registration Branch:    5  KENTON,
,Number of
Borrower Category,Borrowers
-------- --------,---------
UNUSED ADULT,11
UNUSED JUNIOR,5
EXPIRED BORROWERS,134
STAFF,12
PSEUD,2
CARER,7
MINIBUS,6
CLASS VISITS,11
BOOKSTART,301
LIBRARY MAINTENANCE,12
UNUSED SURE START NORTH MOOR,26
18+,1148
UNUSED 0-5,1
6 to 13,433
14-15,47
16-17,62
LEISUREPLUS CARD ADULT,1
VISUALLY IMPAIRED,16
NON AUDIO ADULT,280
NON AUDIO JUNIOR,74
Number of Borrowers        __________,
Active at this Branch:           2589,
----------,
- 8 -,
28/03/12                     Report: reg_active_borrow,ers2
Registration Branch:    6  WALKER,
,Number of
Borrower Category,Borrowers
-------- --------,---------
UNUSED ADULT,8
UNUSED JUNIOR,1
EXPIRED BORROWERS,124
STAFF,4
PSEUD,3
CARER,2
CLASS VISITS,28
BOOKSTART,386
LIBRARY MAINTENANCE,11
PLAYGROUPS,2
UNUSED SURE START EAST,22
UNUSED SURE START FOSSWAY,1
18+,972
UNUSED 0-5,1
6 to 13,310
14-15,33
16-17,43
LEISUREPLUS CARD ADULT,2
VISUALLY IMPAIRED,18
NON AUDIO ADULT,196
NON AUDIO JUNIOR,48
Number of Borrowers        __________,
Active at this Branch:           2215,
----------,
- 9 -,
28/03/12                     Report: reg_active_borrow,ers2
Registration Branch:    7  HIGH HEATON,
,Number of
Borrower Category,Borrowers
-------- --------,---------
UNUSED ADULT,13
UNUSED JUNIOR,1
EXPIRED BORROWERS,108
STAFF,6
PSEUD,7
CARER,1
MINIBUS,6
CLASS VISITS,4
BOOKSTART,415
LIBRARY MAINTENANCE,2
PLAYGROUPS,1
18+,1039
UNUSED 0-5,2
6 to 13,315
14-15,26
16-17,48
LEISUREPLUS CARD ADULT,1
VISUALLY IMPAIRED,14
NON AUDIO ADULT,84
