05/10/09                     Report: reg_active_borrow,ers2,blank
Registration Branch:    1  OUTER WEST LIBRARY,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,159,0
JUNIOR,11,0
TEMPORARY TICKET,2,0
STAFF,16,0
VIDEO,4,0
PSEUD,5,0
CARER,3,0
BOOKFRIEND,5,0
CLASS VISITS,44,0
BOOKSTART,604,0
LIBRARY MAINTENANCE,8,0
DENTON PARK EAZ,1,0
SURE START WESTGATE,1,0
READING SCHEME,2,0
SURE START RIVERSIDE,2,0
SURE START COWGATE AND BLAKELAW,6,0
SURE START NEWBIGGIN HALL,11,0
SURE START NORTH MOOR,2,0
LIFELONG LEARNING,1,0
18+,4859,0
0-5,33,0
6-13,1036,0
14-15,198,0
16-17,153,0
LEISUREPLUS CARD ADULT,22,0
VISUALLY IMPAIRED,4,0
LEISUREPLUS JUNIOR 6 to 15,2,0
Number of Borrowers        __________,,1
Active at this Branch:           7194,,1
----------,,1
- 3 -,,1
05/10/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    2  GOSFORTH,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,112,0
JUNIOR,11,0
TEMPORARY TICKET,1,0
STAFF,15,0
PSEUD,10,0
CARER,5,0
BOOKFRIEND,1,0
MINIBUS,26,0
HOMES,1,0
WORKER,1,0
CORPORATE,1,0
CLASS VISITS,38,0
BOOKSTART,1149,0
LIBRARY MAINTENANCE,13,0
PLAYGROUPS,1,0
SURE START COWGATE AND BLAKELAW,1,0
SURE START NORTH MOOR,53,0
LIFELONG LEARNING,1,0
18+,6838,0
0-5,23,0
6-13,1698,0
14-15,256,0
16-17,227,0
LEISUREPLUS CARD ADULT,25,0
VISUALLY IMPAIRED,5,0
LEISUREPLUS JUNIOR 6 to 15,2,0
Number of Borrowers        __________,,1
Active at this Branch:          10514,,1
----------,,1
- 5 -,,1
05/10/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    3  FENHAM,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,83,0
JUNIOR,17,0
TEMPORARY TICKET,3,0
STAFF,10,0
PSEUD,7,0
CARER,3,0
BOOKFRIEND,1,0
MINIBUS,2,0
WORKER,1,0
CLASS VISITS,22,0
BOOKSTART,501,0
EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,5,0
PLAYGROUPS,3,0
SURE START WESTGATE,10,0
SURE START EAST,1,0
HOUSEBOUND READER,1,0
SURE START RIVERSIDE,22,0
SURE START COWGATE AND BLAKELAW,19,0
18+,2768,0
0-5,24,0
6-13,862,0
14-15,142,0
16-17,120,0
LEISUREPLUS CARD ADULT,4,0
VISUALLY IMPAIRED,1,0
Number of Borrowers        __________,,1
Active at this Branch:           4633,,1
----------,,1
- 7 -,,1
05/10/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    4  JESMOND,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,86,0
JUNIOR,10,0
TEMPORARY TICKET,1,0
STAFF,9,0
PSEUD,10,0
WORKER,2,0
CLASS VISITS,2,0
BOOKSTART,278,0
LIBRARY MAINTENANCE,8,0
PLAYGROUPS,1,0
SURE START WESTGATE,2,0
18+,3645,0
0-5,19,0
6-13,643,0
14-15,70,0
16-17,53,0
LEISUREPLUS CARD ADULT,9,0
VISUALLY IMPAIRED,1,0
LEISUREPLUS JUNIOR 16-17,1,0
Number of Borrowers        __________,,1
Active at this Branch:           4850,,1
----------,,1
- 8 -,,1
05/10/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    5  KENTON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,36,0
JUNIOR,12,0
STAFF,3,0
PSEUD,1,0
CARER,2,0
BOOKFRIEND,2,0
MINIBUS,4,0
CLASS VISITS,14,0
BOOKSTART,255,0
LIBRARY MAINTENANCE,16,0
PLAYGROUPS,2,0
SURE START COWGATE AND BLAKELAW,7,0
SURE START NEWBIGGIN HALL,3,0
SURE START NORTH MOOR,192,0
18+,1509,0
0-5,8,0
6-13,569,0
14-15,69,0
16-17,78,0
LEISUREPLUS CARD ADULT,2,0
Number of Borrowers        __________,,1
Active at this Branch:           2784,,1
----------,,1
- 9 -,,1
05/10/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    6  WALKER,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,36,0
JUNIOR,8,0
STAFF,3,0
PSEUD,3,0
CARER,1,0
WORKER,1,0
CLASS VISITS,22,0
BOOKSTART,236,0
LIBRARY MAINTENANCE,9,0
SURE START EAST,159,0
SURE START FOSSWAY,60,0
LIFELONG LEARNING,1,0
18+,1460,0
0-5,7,0
6-13,516,0
14-15,64,0
16-17,51,0
LEISUREPLUS CARD ADULT,3,0
LEISUREPLUS JUNIOR 6 to 15,1,0
Number of Borrowers        __________,,1
Active at this Branch:           2641,,1
----------,,1
- 10 -,,1
05/10/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    7  HIGH HEATON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,87,0
JUNIOR,12,0
STAFF,4,0
PSEUD,10,0
CARER,2,0
MINIBUS,9,0
CLASS VISITS,9,0
BOOKSTART,299,0
LIBRARY MAINTENANCE,3,0
SURE START EAST,1,0
READING SCHEME,1,0
18+,1496,0
0-5,21,0
6-13,454,0
14-15,67,0
16-17,65,0
LEISUREPLUS CARD ADULT,1,0
VISUALLY IMPAIRED,1,0
Number of Borrowers        __________,,1
Active at this Branch:           2542,,1
----------,,1
- 11 -,,1
05/10/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    8  ZHEATON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
18+,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
- 12 -,,1
05/10/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    9  BENWELL,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,45,0
JUNIOR,10,0
STAFF,7,0
PSEUD,1,0
CARER,2,0
BOOKFRIEND,6,0
MINIBUS,11,0
CLASS VISITS,45,0
INTERNET USER,7,0
BOOKSTART,439,0
EAZ BORN TO READ,1,0
PLAYGROUPS,1,0
SURE START WESTGATE,11,0
HOUSEBOUND READER,1,0
SURE START RIVERSIDE,307,0
SURE START COWGATE AND BLAKELAW,3,0
SURE START NEWBIGGIN HALL,1,0
18+,2726,0
0-5,22,0
6-13,1378,0
14-15,148,0
16-17,181,0
Number of Borrowers        __________,,1
Active at this Branch:           5353,,1
----------,,1
- 13 -,,1
