01/07/09                     Report: reg_active_borrow,ers2,blank
Registration Branch:    1  OUTER WEST LIBRARY,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,169,0
JUNIOR,13,0
TEMPORARY TICKET,3,0
STAFF,15,0
VIDEO,4,0
PSEUD,5,0
CARER,3,0
BOOKFRIEND,6,0
WORKER,1,0
CLASS VISITS,47,0
BOOKSTART,624,0
LIBRARY MAINTENANCE,8,0
READING SCHEME,2,0
SURE START RIVERSIDE,2,0
SURE START COWGATE AND BLAKELAW,7,0
SURE START NEWBIGGIN HALL,13,0
SURE START NORTH MOOR,2,0
LIFELONG LEARNING,1,0
18+,4641,0
0-5,28,0
6-13,1027,0
14-15,189,0
16-17,133,0
LEISUREPLUS CARD ADULT,19,0
VISUALLY IMPAIRED,4,0
Number of Borrowers        __________,,1
Active at this Branch:           6966,,1
----------,,1
- 3 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    2  GOSFORTH,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,129,0
JUNIOR,13,0
TEMPORARY TICKET,2,0
STAFF,14,0
PSEUD,10,0
CARER,5,0
BOOKFRIEND,1,0
MINIBUS,29,0
HOMES,1,0
WORKER,3,0
CORPORATE,1,0
CLASS VISITS,42,0
BOOKSTART,1167,0
LIBRARY MAINTENANCE,19,0
PLAYGROUPS,1,0
SURE START COWGATE AND BLAKELAW,1,0
SURE START NORTH MOOR,62,0
18+,6743,0
0-5,27,0
6-13,1679,0
14-15,211,0
16-17,218,0
LEISUREPLUS CARD ADULT,18,0
VISUALLY IMPAIRED,5,0
LEISUREPLUS JUNIOR 6 to 15,1,0
Number of Borrowers        __________,,1
Active at this Branch:          10402,,1
----------,,1
- 5 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    3  FENHAM,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,94,0
JUNIOR,23,0
TEMPORARY TICKET,5,0
STAFF,10,0
PSEUD,7,0
CARER,3,0
MINIBUS,2,0
WORKER,1,0
CLASS VISITS,20,0
BOOKSTART,490,0
EAZ BORN TO READ,1,0
LIBRARY MAINTENANCE,8,0
SURE START WESTGATE,12,0
SURE START EAST,1,0
SURE START FOSSWAY,1,0
HOUSEBOUND READER,1,0
SURE START RIVERSIDE,30,0
SURE START COWGATE AND BLAKELAW,23,0
SURE START NORTH MOOR,1,0
18+,2691,0
0-5,25,0
6-13,839,0
14-15,127,0
16-17,103,0
LEISUREPLUS CARD ADULT,4,0
VISUALLY IMPAIRED,1,0
Number of Borrowers        __________,,1
Active at this Branch:           4523,,1
----------,,1
- 7 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    4  JESMOND,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,116,0
JUNIOR,9,0
TEMPORARY TICKET,1,0
STAFF,7,0
PSEUD,11,0
WORKER,2,0
CLASS VISITS,1,0
BOOKSTART,301,0
LIBRARY MAINTENANCE,8,0
PLAYGROUPS,2,0
SAINSBURYS BORN TO READ,1,0
SURE START WESTGATE,2,0
SURE START NORTH MOOR,1,0
18+,3555,0
0-5,16,0
6-13,638,0
14-15,61,0
16-17,56,0
LEISUREPLUS CARD ADULT,10,0
VISUALLY IMPAIRED,1,0
Number of Borrowers        __________,,1
Active at this Branch:           4799,,1
----------,,1
Registration Branch:    5  KENTON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,39,0
JUNIOR,8,0
STAFF,1,0
PSEUD,1,0
CARER,2,0
BOOKFRIEND,1,0
MINIBUS,4,0
CLASS VISITS,14,0
BOOKSTART,250,0
LIBRARY MAINTENANCE,16,0
PLAYGROUPS,2,0
SURE START WESTGATE,1,0
SURE START COWGATE AND BLAKELAW,8,0
SURE START NEWBIGGIN HALL,2,0
SURE START NORTH MOOR,242,0
18+,1451,0
0-5,9,0
6-13,536,0
14-15,62,0
16-17,75,0
LEISUREPLUS CARD ADULT,3,0
Number of Borrowers        __________,,1
Active at this Branch:           2727,,1
----------,,1
- 9 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    6  WALKER,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,36,0
JUNIOR,11,0
STAFF,2,0
PSEUD,5,0
CARER,1,0
MINIBUS,1,0
WORKER,1,0
CLASS VISITS,20,0
BOOKSTART,231,0
LIBRARY MAINTENANCE,9,0
SURE START EAST,188,0
SURE START FOSSWAY,76,0
SURE START RIVERSIDE,1,0
LIFELONG LEARNING,1,0
18+,1364,0
0-5,3,0
6-13,459,0
14-15,51,0
16-17,38,0
LEISUREPLUS CARD ADULT,3,0
LEISUREPLUS JUNIOR 6 to 15,1,0
Number of Borrowers        __________,,1
Active at this Branch:           2502,,1
----------,,1
- 10 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    7  HIGH HEATON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,98,0
JUNIOR,13,0
STAFF,4,0
PSEUD,12,0
CARER,2,0
MINIBUS,10,0
CLASS VISITS,8,0
BOOKSTART,282,0
LIBRARY MAINTENANCE,4,0
PLAYGROUPS,1,0
SURE START EAST,1,0
READING SCHEME,1,0
18+,1372,0
0-5,21,0
6-13,423,0
14-15,63,0
16-17,46,0
LEISUREPLUS CARD ADULT,1,0
VISUALLY IMPAIRED,1,0
Number of Borrowers        __________,,1
Active at this Branch:           2363,,1
----------,,1
- 11 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    8  ZHEATON,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
18+,1,0
Number of Borrowers        __________,,1
Active at this Branch:              1,,1
----------,,1
- 12 -,,1
01/07/09                     Report: reg_active_borrow,ers2,0
Registration Branch:    9  BENWELL,,1
,Number of,1
Borrower Category,Borrowers,0
-------- --------,---------,0
ADULT,45,0
JUNIOR,8,0
TEMPORARY TICKET,1,0
STAFF,7,0
PSEUD,1,0
CARER,1,0
BOOKFRIEND,6,0
MINIBUS,11,0
CLASS VISITS,24,0
INTERNET USER,9,0
BOOKSTART,325,0
LIBRARY MAINTENANCE,1,0
PLAYGROUPS,3,0
SURE START WESTGATE,12,0
HOUSEBOUND READER,1,0
SURE START RIVERSIDE,377,0
SURE START COWGATE AND BLAKELAW,3,0
SURE START NEWBIGGIN HALL,1,0
18+,2360,0
0-5,5,0
6-13,933,0
14-15,123,0
16-17,142,0
Number of Borrowers        __________,,1
Active at this Branch:           4399,,1
----------,,1
- 13 -,,1
